model,n_qubits,depth,grad_var_mean,grad_var_std
B6-Global,12,10,1.7947153121795166e-07,2.8025296053896845e-08
B6-Global,12,15,2.1069934597182007e-07,5.1413230426001806e-08
B6-Global,12,20,2.290302950973778e-07,6.674363875146344e-08
B6-Global,12,25,2.3312388111617029e-07,1.5456217451498992e-07
B6-Global,14,1,6.114720293586442e-09,4.3560341393288916e-09
B6-Global,14,2,3.067809966488559e-08,4.139281887274469e-08
B6-Global,14,3,6.55339834513508e-09,1.9382231219425007e-09
B6-Global,14,4,2.0123795205787213e-08,4.880561534034236e-09
B6-Global,14,5,1.1607981545180947e-08,9.058266722247843e-09
B6-Global,14,10,1.7910768748589517e-08,6.690185484797769e-09
B6-Global,14,15,1.7381565916094816e-08,3.680566482448553e-09
B6-Global,14,20,1.1617976833311363e-08,6.3231283079515145e-09
B6-Global,14,25,1.4682104042147e-08,2.500258357135565e-09
B6-Global,18,1,2.1741299771107038e-09,3.057856186093806e-09
B6-Global,18,2,8.727765658613336e-12,1.226257506142898e-11
