model,theta,cost
B3-Layer,4.79226,0.3386622755497291
B3-Layer,4.898755,0.33587450164367544
B3-Layer,5.005249,0.3313391630700698
B3-Layer,5.111744,0.3252151505979755
B3-Layer,5.218239,0.3177233338556731
B3-Layer,5.324733,0.3091372128246897
B3-Layer,5.431228,0.29977129486983145
B3-Layer,5.537723,0.2899677142299037
B3-Layer,5.644217,0.2800816892381735
B3-Layer,5.750712,0.27046646409079733
B3-Layer,5.857207,0.26145840441685053
B3-Layer,5.963701,0.2533629082210458
B3-Layer,6.070196,0.24644175632520463
B3-Layer,6.176691,0.24090246092605386
B3-Layer,6.283185,0.23689008028065672
B5-ResQNet,0.0,0.00027964264627250565
B5-ResQNet,0.106495,4.829036422966347e-05
B5-ResQNet,0.212989,0.0009094778944850117
B5-ResQNet,0.319484,0.002770947822123797
B5-ResQNet,0.425979,0.005496905661051896
B5-ResQNet,0.532473,0.008914742270755756
B5-ResQNet,0.638968,0.01282339450329815
B5-ResQNet,0.745463,0.01700295989227906
B5-ResQNet,0.851957,0.021225124882576895
B5-ResQNet,0.958452,0.025263929762228254
B5-ResQNet,1.064947,0.028906378733135753
B5-ResQNet,1.171441,0.03196241110531108
B5-ResQNet,1.277936,0.034273779072694514
B5-ResQNet,1.384431,0.03572142758848773
B5-ResQNet,1.490925,0.03623104023465482
B5-ResQNet,1.59742,0.0357764985759811
B5-ResQNet,1.703915,0.03438109751773282
B5-ResQNet,1.810409,0.032116461344632
B5-ResQNet,1.916904,0.029099209782231558
B5-ResQNet,2.023399,0.025485525851229332
B5-ResQNet,2.129893,0.02146387284328697
B5-ResQNet,2.236388,0.017246192106596597
B5-ResQNet,2.342883,0.01305798267022566
B5-ResQNet,2.449377,0.00912771491667739
B5-ResQNet,2.555872,0.005676061211808428
B5-ResQNet,2.662367,0.0029054352259662367
B5-ResQNet,2.768861,0.0009903182249023999
B5-ResQNet,2.875356,6.881547612879191e-05
B5-ResQNet,2.981851,0.0002358306888002153
B5-ResQNet,3.088345,0.0015381735746855352
B5-ResQNet,3.19484,0.003971828472460333
B5-ResQNet,3.301335,0.00748151445331128
B5-ResQNet,3.407829,0.011962563828523964
B5-ResQNet,3.514324,0.01726504118600647
B5-ResQNet,3.620819,0.023199923728739927
B5-ResQNet,3.727313,0.029547070355571928
B5-ResQNet,3.833808,0.03606462583354582
B5-ResQNet,3.940303,0.0424994412287555
B5-ResQNet,4.046797,0.04859804543897278
B5-ResQNet,4.153292,0.05411767730405206
