model,theta1,theta2,cost
QCN,4.45059,4.974188,0.07590094404516533
QCN,4.712389,4.974188,0.07629073959256093
QCN,4.974188,4.974188,0.0820232444306019
QCN,5.235988,4.974188,0.09265924474094189
QCN,5.497787,4.974188,0.1064085620418041
QCN,5.759587,4.974188,0.1205375112719625
QCN,6.021386,4.974188,0.13203661902930464
QCN,6.283185,4.974188,0.13837410140139397
QCN,0.0,5.235988,0.1798147320321406
QCN,0.261799,5.235988,0.1798244136712971
QCN,0.523599,5.235988,0.17197962677713344
QCN,0.785398,5.235988,0.1576932584596459
QCN,1.047198,5.235988,0.13945346967706382
QCN,1.308997,5.235988,0.12024830375408864
QCN,1.570796,5.235988,0.10289447628914261
QCN,1.832596,5.235988,0.08944137595996828
QCN,2.094395,5.235988,0.08079915603377556
QCN,2.356194,5.235988,0.07667849166930824
QCN,2.617994,5.235988,0.07584563076655228
QCN,2.879793,5.235988,0.07661229955781841
QCN,3.141593,5.235988,0.07741833555315275
QCN,3.403392,5.235988,0.07734205471694894
QCN,3.665191,5.235988,0.0763953087500575
QCN,3.926991,5.235988,0.07552089467283353
QCN,4.18879,5.235988,0.07629297092633432
QCN,4.45059,5.235988,0.08040395365164492
QCN,4.712389,5.235988,0.08908160144856454
QCN,4.974188,5.235988,0.1026013009747861
QCN,5.235988,5.235988,0.12003505376203373
QCN,5.497787,5.235988,0.13931650052121294
QCN,5.759587,5.235988,0.15761707395305
QCN,6.021386,5.235988,0.17194458835944867
QCN,6.283185,5.235988,0.17981473203214063
QCN,0.0,5.497787,0.2145410382397331
QCN,0.261799,5.497787,0.21524608846424007
QCN,0.523599,5.497787,0.20813776567915296
QCN,0.785398,5.497787,0.19428466817364423
QCN,1.047198,5.497787,0.1756956534310691
QCN,1.308997,5.497787,0.15489762771325874
QCN,1.570796,5.497787,0.13442569996906736
QCN,1.832596,5.497787,0.11635091603129838
QCN,2.094395,5.497787,0.10195800864018571
QCN,2.356194,5.497787,0.09164365281060192
QCN,2.617994,5.497787,0.08504596306537421
QCN,2.879793,5.497787,0.08135446543051739
QCN,3.141593,5.497787,0.07970297150281054
QCN,3.403392,5.497787,0.07952811007570745
QCN,3.665191,5.497787,0.08078883158162511
QCN,3.926991,5.497787,0.08398339777180348
QCN,4.18879,5.497787,0.0899588960213328
QCN,4.45059,5.497787,0.09956820162640968
QCN,4.712389,5.497787,0.11327421415672463
QCN,4.974188,5.497787,0.1308188092970899
QCN,5.235988,5.497787,0.15105931796737193
QCN,5.497787,5.497787,0.1720322051122857
QCN,5.759587,5.497787,0.19124341135055947
QCN,6.021386,5.497787,0.20612362909814955
QCN,6.283185,5.497787,0.21454103823973317
QCN,0.0,5.759587,0.23315078975812778
QCN,0.261799,5.759587,0.23493483947483784
QCN,0.523599,5.759587,0.2303207742454921
QCN,0.785398,5.759587,0.21989448763630262
QCN,1.047198,5.759587,0.20493790507349463
QCN,1.308997,5.759587,0.18718851892694255
QCN,1.570796,5.759587,0.16852853320380282
QCN,1.832596,5.759587,0.15067636843322732
QCN,2.094395,5.759587,0.13494984159168757
QCN,2.356194,5.759587,0.12214923684818489
QCN,2.617994,5.759587,0.112575503037927
QCN,2.879793,5.759587,0.10616284831359929
QCN,3.141593,5.759587,0.10267567182373603
QCN,3.403392,5.759587,0.10190484554408431
QCN,3.665191,5.759587,0.10380167856229834
QCN,3.926991,5.759587,0.10850835748878696
QCN,4.18879,5.759587,0.11627552115692695
QCN,4.45059,5.759587,0.12729207618371977
QCN,4.712389,5.759587,0.14147987522332342
QCN,4.974188,5.759587,0.15831881655684055
QCN,5.235988,5.759587,0.1767625756095115
QCN,5.497787,5.759587,0.1952827880357156
QCN,5.759587,5.759587,0.21204594074064112
QCN,6.021386,5.759587,0.22519142658472804
QCN,6.283185,5.759587,0.23315078975812775
QCN,0.0,6.021386,0.23062346427604666
QCN,0.261799,6.021386,0.23363969324562214
QCN,0.523599,6.021386,0.23267534828333292
QCN,0.785398,6.021386,0.2278332734512923
QCN,1.047198,6.021386,0.2196148634042213
QCN,1.308997,6.021386,0.2088399635926875
QCN,1.570796,6.021386,0.19652139281318126
QCN,1.832596,6.021386,0.18372129014776106
QCN,2.094395,6.021386,0.17141907336378004
QCN,2.356194,6.021386,0.16041599265810283
QCN,2.617994,6.021386,0.15129047454054603
QCN,2.879793,6.021386,0.14440463360276548
QCN,3.141593,6.021386,0.1399492013445822
QCN,3.403392,6.021386,0.1380051592706056
QCN,3.665191,6.021386,0.13859787871162174
QCN,3.926991,6.021386,0.1417240923638289
QCN,4.18879,6.021386,0.14734216918996665
QCN,4.45059,6.021386,0.15532902092606846
